project_id,mp_id,constituency_id,state,district,latitude,longitude,work_category,work_description,implementing_agency,executing_agency,vendor_id,sanctioned_amount,estimated_cost,released_amount,expenditure_amount,recommended_date,sanction_date,start_date,expected_completion_date,actual_completion_date,status,utilization_certificate_filed,created_at,updated_at
MPLADS-BR-2020-00001,MP-BR-004,PC-BR-002,Bihar,Muzaffarpur,25.748821,84.96115,HEALTH,Construction of sub-health centre building at Sundarpur village,PWD Muzaffarpur Division,Cantonment Board Muzaffarpur,VEN-00597,1485789.0,1628030.73,1449037.79,1394882.41,2020-10-18,2020-12-13,2020-12-28,2022-01-01,2022-01-31,COMPLETED,True,2020-10-18T09:00:00Z,2026-09-04T04:00:00Z
MPLADS-BR-2025-00002,MP-BR-009,PC-BR-005,Bihar,Darbhanga,24.99523,85.085394,HEALTH,"Upgradation of Primary Health Centre, Kisanpur Gram Panchayat",Cantonment Board Darbhanga,Darbhanga Rural Development Agency,VEN-00210,1865452.0,1834326.99,3830084.77,1573757.52,2025-07-27,2025-10-20,2025-11-12,2026-08-05,,DELAYED,False,2025-07-27T09:00:00Z,2026-09-04T04:00:00Z
MPLADS-MP-2021-00001,MP-MP-005,PC-MP-005,Madhya Pradesh,Indore,23.589999,78.384419,DRINKING_WATER,Laying of 4.3 km drinking water supply pipeline in Devpur,Indore Zilla Parishad,Indore Municipal Corporation,VEN-00722,1626478.0,1739856.15,1604050.47,1461181.62,2021-07-05,2021-09-03,2021-09-29,2022-04-09,2022-05-20,COMPLETED,True,2021-07-05T09:00:00Z,2026-09-04T04:00:00Z
MPLADS-TN-2022-00001,MP-TN-006,PC-TN-004,Tamil Nadu,Tiruchirappalli,11.289944,78.692649,DRINKING_WATER,Construction of overhead water tank (30 KL capacity) at Lakshmipur block,Tiruchirappalli Municipal Corporation,Tiruchirappalli Rural Development Agency,VEN-00436,1562196.0,1622525.18,1228532.33,1116312.25,2022-08-01,2022-10-16,2023-01-17,2023-06-02,,DELAYED,False,2022-08-01T09:00:00Z,2026-09-04T04:00:00Z
MPLADS-CG-2024-00002,MP-CG-011,PC-CG-009,Chhattisgarh,Durg,21.525541,82.62723,EDUCATION,"Renovation of school building and toilets at Government School, Manpur",Durg Rural Development Agency,Cantonment Board Durg,VEN-00029,1799147.0,1823929.47,791961.8,783645.36,2024-04-11,2024-05-14,2024-08-22,2025-01-06,,DELAYED,False,2024-04-11T09:00:00Z,2026-09-04T04:00:00Z
MPLADS-KL-2023-00001,MP-KL-002,PC-KL-002,Kerala,Kozhikode,10.735871,76.187196,ELECTRICITY,Transformer capacity augmentation at Fatehpur block substation,Kerala Housing Board — Kozhikode Circle,Kerala Housing Board — Kozhikode Circle,VEN-00890,852096.0,898728.9,813494.74,782883.63,2023-08-21,2023-09-16,2023-10-14,2024-02-11,2024-03-17,COMPLETED,True,2023-08-21T09:00:00Z,2026-09-04T04:00:00Z
MPLADS-JH-2024-00001,MP-JH-001,,Jharkhand,Bokaro,23.852235,85.541106,COMMUNITY_HALLS,Renovation of marriage hall at Nehru Nagar village Gram Panchayat,Cantonment Board Bokaro,PWD Bokaro Division,VEN-00441,1558339.0,1551554.83,1522164.12,1514481.62,2024-04-18,2024-07-05,2024-07-24,2025-03-20,2025-04-25,COMPLETED,True,2024-04-18T09:00:00Z,2026-09-04T04:00:00Z
MPLADS-CG-2020-00003,MP-CG-011,PC-CG-009,Chhattisgarh,Durg,21.788706,82.718857,IRRIGATION,Renovation of irrigation canal serving Hanumangarh farmers,Durg Panchayati Raj Department,Cantonment Board Durg,VEN-00345,2573454.0,2509279.65,1447331.48,1285339.23,2020-05-24,2020-06-14,2020-09-16,2021-05-05,,DELAYED,False,2020-05-24T09:00:00Z,2026-09-04T04:00:00Z
MPLADS-AP-2024-00002,MP-AP-005,PC-AP-005,Andhra Pradesh,Guntur,14.900169,80.179217,DRINKING_WATER,Construction of overhead water tank (30 KL capacity) at Shivpuri hamlet,Andhra Pradesh Housing Board — Guntur Circle,Guntur Zilla Parishad,VEN-00794,1069970.0,1049658.47,1023835.19,898155.25,2024-08-23,2024-10-13,2024-12-27,2025-07-17,2025-09-26,COMPLETED,True,2024-08-23T09:00:00Z,2026-09-04T04:00:00Z
MPLADS-HR-2025-00002,MP-HR-002,PC-HR-001,Haryana,Karnal,28.635792,75.206821,ROADS,Widening and strengthening of village road at Hanumangarh block,Karnal Rural Development Agency,Karnal Zilla Parishad,VEN-00338,1471096.0,1561380.52,1465900.86,1325663.66,2025-06-14,2025-06-29,2025-07-31,2026-04-19,2026-04-12,COMPLETED,False,2025-06-14T09:00:00Z,2026-09-04T04:00:00Z
MPLADS-JH-2024-00002,MP-JH-001,,Jharkhand,Bokaro,23.681188,84.50034,HEALTH,"Upgradation of Primary Health Centre, Ravipur Gram Panchayat",Cantonment Board Bokaro,Bokaro Zilla Parishad,VEN-00180,1991204.0,2013338.28,1972832.6,1722203.82,2024-04-16,2024-05-29,2024-06-22,2025-05-16,2025-07-26,COMPLETED,True,2024-04-16T09:00:00Z,2026-09-04T04:00:00Z
MPLADS-MH-2025-00002,MP-MH-011,PC-MH-010,Maharashtra,Nashik,19.393073,76.489632,COMMUNITY_HALLS,Renovation of marriage hall at Krishnanagar hamlet Gram Panchayat,Nashik Panchayati Raj Department,Cantonment Board Nashik,VEN-00121,1845650.0,1909240.08,1657905.29,1547235.49,2025-11-03,2025-12-07,2026-01-30,2026-06-06,,DELAYED,False,2025-11-03T09:00:00Z,2026-09-04T04:00:00Z
MPLADS-KL-2025-00002,MP-KL-005,PC-KL-005,Kerala,Kochi,11.209946,76.846426,PUBLIC_INFRASTRUCTURE,Renovation of panchayat bhawan at Deolali Gram Panchayat,Kochi Panchayati Raj Department,Kochi Zilla Parishad,VEN-00180,1845097.0,1942592.47,1758157.42,1737530.71,2025-08-01,2025-09-07,2025-11-14,2026-03-06,2026-04-21,COMPLETED,False,2025-08-01T09:00:00Z,2026-09-04T04:00:00Z
MPLADS-CG-2024-00004,MP-CG-010,PC-CG-008,Chhattisgarh,Korba,21.146863,81.956732,SANITATION,Construction of underground drainage system in Bhagwanpur Gram Panchayat,Korba Municipal Corporation,Chhattisgarh Housing Board — Korba Circle,VEN-00133,517464.0,540528.93,338441.04,318375.12,2024-11-27,2025-01-03,2025-02-20,2025-06-28,,DELAYED,False,2024-11-27T09:00:00Z,2026-09-04T04:00:00Z
MPLADS-CG-2024-00005,MP-CG-001,,Chhattisgarh,Raipur,21.842826,81.212724,ELECTRICITY,Transformer capacity augmentation at Sundarpur hamlet substation,Cantonment Board Raipur,Raipur Panchayati Raj Department,VEN-00865,1797831.0,1895825.95,1796661.43,1656107.39,2024-12-26,2025-02-03,2025-04-05,2025-07-06,2025-07-15,COMPLETED,True,2024-12-26T09:00:00Z,2026-09-04T04:00:00Z
MPLADS-OD-2024-00002,MP-OD-004,PC-OD-003,Odisha,Sambalpur,21.985644,84.893104,IRRIGATION,Construction of check dam near Fatehpur hamlet,Sambalpur Zilla Parishad,Sambalpur Rural Development Agency,VEN-00785,4019321.0,3838359.41,3928339.78,3637446.3,2024-09-01,2024-11-06,2024-12-17,2026-01-13,2026-03-14,COMPLETED,False,2024-09-01T09:00:00Z,2026-09-04T04:00:00Z
MPLADS-AS-2022-00001,MP-AS-010,PC-AS-009,Assam,Guwahati,25.498188,93.256426,HEALTH,Construction of sub-health centre building at Vijaynagar,Guwahati Panchayati Raj Department,Guwahati Zilla Parishad,VEN-00728,3354422.0,3356744.59,3209005.17,3168425.15,2022-12-18,2023-02-20,2023-04-12,2023-09-19,2023-10-08,COMPLETED,True,2022-12-18T09:00:00Z,2026-09-04T04:00:00Z
MPLADS-RJ-2024-00002,MP-RJ-003,PC-RJ-001,Rajasthan,Udaipur,28.037665,73.326297,COMMUNITY_HALLS,Construction of community hall at Vijaynagar Gram Panchayat,Udaipur Municipal Corporation,Rajasthan Housing Board — Udaipur Circle,VEN-00529,861360.0,865689.44,561853.27,542554.04,2024-08-22,2024-10-01,2024-12-01,2025-07-18,,DELAYED,False,2024-08-22T09:00:00Z,2026-09-04T04:00:00Z
MPLADS-AS-2019-00002,MP-AS-005,PC-AS-004,Assam,Silchar,25.173024,92.760967,DRINKING_WATER,Construction of overhead water tank (50 KL capacity) at Manpur block,PWD Silchar Division,Assam Housing Board — Silchar Circle,VEN-00705,2494418.0,2391289.7,2481421.11,2382314.19,2019-05-04,2019-07-02,2019-09-19,2019-12-23,2019-12-12,COMPLETED,True,2019-05-04T09:00:00Z,2026-09-04T04:00:00Z
MPLADS-AS-2025-00003,MP-AS-007,PC-AS-006,Assam,Jorhat,25.264523,92.350626,DRINKING_WATER,Construction of overhead water tank (20 KL capacity) at Sundarpur Gram Panchayat,Cantonment Board Jorhat,Cantonment Board Jorhat,VEN-00497,1027468.0,1076834.09,390912.57,390912.57,2025-10-28,2025-12-05,2026-02-03,2025-07-05,,DELAYED,False,2025-10-28T09:00:00Z,2026-09-04T04:00:00Z
MPLADS-TG-2025-00002,MP-TG-007,,Telangana,Karimnagar,19.01732,78.342339,DRINKING_WATER,Laying of 1.3 km drinking water supply pipeline in Bhagwanpur hamlet,Karimnagar Zilla Parishad,Telangana Housing Board — Karimnagar Circle,VEN-00345,1197734.0,1140108.76,1420428.9,1420428.9,2025-07-23,2025-09-22,2025-11-08,2026-05-27,,DELAYED,False,2025-07-23T09:00:00Z,2026-09-04T04:00:00Z
MPLADS-KA-2022-00002,MP-KA-019,,Karnataka,Belagavi,15.977919,75.070742,IRRIGATION,Installation of community lift irrigation scheme at Ganeshpur Gram Panchayat,Belagavi Panchayati Raj Department,Karnataka Housing Board — Belagavi Circle,VEN-00852,2877548.0,2781565.93,2786047.25,2509340.63,2022-10-21,2022-11-27,2023-02-17,2023-11-15,2023-10-23,COMPLETED,True,2022-10-21T09:00:00Z,2026-09-04T04:00:00Z
MPLADS-WB-2024-00001,MP-WB-002,PC-WB-002,West Bengal,Darjeeling,23.390535,86.833872,SPORTS,Construction of village sports ground/stadium at Gandhi Nagar hamlet,PWD Darjeeling Division,PWD Darjeeling Division,VEN-00785,1122175.0,1215967.47,1066087.64,999519.49,2024-10-10,2024-11-29,2025-03-22,2025-07-29,2025-08-02,COMPLETED,True,2024-10-10T09:00:00Z,2026-09-04T04:00:00Z
MPLADS-CG-2022-00006,MP-CG-014,,Chhattisgarh,Raipur,22.01188,82.871003,SANITATION,Construction of 2 community toilet complexes in Vijaynagar hamlet,Raipur Panchayati Raj Department,Chhattisgarh Housing Board — Raipur Circle,VEN-00029,1496800.0,1446186.92,1445748.38,1236300.18,2022-07-09,2022-09-30,2023-01-18,2023-04-20,2023-06-16,COMPLETED,True,2022-07-09T09:00:00Z,2026-09-04T04:00:00Z
MPLADS-BR-2020-00003,MP-BR-011,PC-BR-007,Bihar,Patna,24.870883,85.928737,OTHER,Miscellaneous public welfare work at Devpur village as recommended by MP,Patna Rural Development Agency,Patna Zilla Parishad,VEN-00094,962827.0,919622.77,933524.58,832850.96,2020-10-29,2020-12-24,2021-04-14,2021-08-30,2021-11-11,COMPLETED,True,2020-10-29T09:00:00Z,2026-09-04T04:00:00Z
MPLADS-GJ-2022-00001,MP-GJ-009,PC-GJ-008,Gujarat,Bhavnagar,21.486487,71.576356,IRRIGATION,Construction of check dam near Gandhi Nagar village,PWD Bhavnagar Division,Gujarat Housing Board — Bhavnagar Circle,VEN-00619,872325.0,956664.34,864790.98,739829.64,2022-10-12,2023-01-08,2023-04-07,2023-10-08,2023-12-20,COMPLETED,False,2022-10-12T09:00:00Z,2026-09-04T04:00:00Z
MPLADS-KA-2023-00003,MP-KA-002,PC-KA-002,Karnataka,Hubballi-Dharwad,15.998048,75.594735,HEALTH,Construction of sub-health centre building at Nehru Nagar village,Hubballi-Dharwad Rural Development Agency,Hubballi-Dharwad Municipal Corporation,VEN-00114,2492625.0,2444333.37,2420920.85,2287017.25,2023-11-13,2023-12-23,2024-01-20,2024-11-05,2024-10-16,COMPLETED,True,2023-11-13T09:00:00Z,2026-09-04T04:00:00Z
MPLADS-TG-2021-00003,MP-TG-008,PC-TG-007,Telangana,Warangal,18.538339,78.058237,ROADS,Widening and strengthening of village road at Gandhi Nagar block,Warangal Rural Development Agency,Telangana Housing Board — Warangal Circle,VEN-00475,2410388.0,2635232.52,1408093.64,1393420.48,2021-06-29,2021-08-11,2021-09-07,2022-10-01,,DELAYED,False,2021-06-29T09:00:00Z,2026-09-04T04:00:00Z
MPLADS-BR-2023-00004,MP-BR-011,PC-BR-007,Bihar,Patna,24.105605,85.234134,DRINKING_WATER,Construction of overhead water tank (20 KL capacity) at Sundarpur village,Patna Rural Development Agency,PWD Patna Division,VEN-00832,731522.0,764350.07,713158.73,703577.34,2023-05-01,2023-07-23,2023-08-04,2024-03-25,2024-04-08,COMPLETED,False,2023-05-01T09:00:00Z,2026-09-04T04:00:00Z
MPLADS-AP-2019-00003,MP-AP-015,PC-AP-012,Andhra Pradesh,Guntur,15.183234,80.67897,DRINKING_WATER,Construction of overhead water tank (20 KL capacity) at Manpur hamlet,Guntur Rural Development Agency,Guntur Panchayati Raj Department,VEN-00821,727201.0,771449.81,698894.16,626463.96,2019-10-12,2019-12-31,2020-02-09,2020-08-15,2020-10-23,COMPLETED,True,2019-10-12T09:00:00Z,2026-09-04T04:00:00Z
MPLADS-UP-2024-00003,MP-UP-009,PC-UP-008,Uttar Pradesh,Agra,27.715199,81.396904,ELECTRICITY,Transformer capacity augmentation at Lakshmipur block substation,Uttar Pradesh Housing Board — Agra Circle,Agra Panchayati Raj Department,VEN-00024,1705629.0,1628244.02,1651481.74,1437256.58,2024-07-19,2024-08-22,2024-11-29,2025-02-09,2025-02-23,COMPLETED,False,2024-07-19T09:00:00Z,2026-09-04T04:00:00Z
MPLADS-RJ-2023-00003,MP-RJ-005,PC-RJ-002,Rajasthan,Jaipur,26.85361,74.155033,DRINKING_WATER,Installation of 9 solar-powered borewell hand pumps in Bhagwanpur,Cantonment Board Jaipur,Rajasthan Housing Board — Jaipur Circle,VEN-00032,1369123.0,1502933.02,574952.4,513908.42,2023-08-31,2023-10-12,2023-11-28,2024-06-24,,DELAYED,False,2023-08-31T09:00:00Z,2026-09-04T04:00:00Z
MPLADS-KL-2025-00003,MP-KL-009,PC-KL-009,Kerala,Kozhikode,10.384511,77.327499,ROADS,Construction of bridge/culvert on approach road to Ravipur block,PWD Kozhikode Division,Kozhikode Rural Development Agency,VEN-00696,1054386.0,1101936.93,1007773.96,856871.82,2025-05-03,2025-06-22,2025-09-19,2026-03-15,2026-06-11,COMPLETED,True,2025-05-03T09:00:00Z,2026-09-04T04:00:00Z
MPLADS-AP-2023-00004,MP-AP-003,PC-AP-003,Andhra Pradesh,Vijayawada,15.283554,80.815026,ROADS,Widening and strengthening of village road at Manpur hamlet,PWD Vijayawada Division,Vijayawada Zilla Parishad,VEN-00705,2007263.0,2125811.21,856594.51,776425.33,2023-10-18,2023-12-22,2024-02-23,2024-09-02,,DELAYED,False,2023-10-18T09:00:00Z,2026-09-04T04:00:00Z
MPLADS-MH-2020-00003,MP-MH-013,PC-MH-011,Maharashtra,Aurangabad,20.376985,76.002876,IRRIGATION,Construction of check dam near Deolali hamlet,Aurangabad Rural Development Agency,PWD Aurangabad Division,VEN-00426,1678415.0,1840269.49,1636516.8,1426578.36,2020-06-11,2020-08-17,2020-09-18,2021-09-08,2021-10-04,COMPLETED,True,2020-06-11T09:00:00Z,2026-09-04T04:00:00Z
MPLADS-AP-2023-00005,MP-AP-013,,Andhra Pradesh,Guntur,16.819654,80.002931,SANITATION,Construction of underground drainage system in Deolali village,Guntur Municipal Corporation,Guntur Zilla Parishad,VEN-00728,940826.0,1008461.8,879397.91,832841.83,2023-10-16,2023-12-16,2024-01-02,2024-03-23,,DELAYED,False,2023-10-16T09:00:00Z,2026-09-04T04:00:00Z
MPLADS-OD-2021-00003,MP-OD-018,,Odisha,Sambalpur,20.79775,84.192435,DRINKING_WATER,Installation of 7 solar-powered borewell hand pumps in Nehru Nagar block,Sambalpur Zilla Parishad,Odisha Housing Board — Sambalpur Circle,VEN-00527,852779.0,872781.61,825022.95,763977.05,2021-07-14,2021-08-30,2021-10-15,2022-04-24,2022-05-20,COMPLETED,True,2021-07-14T09:00:00Z,2026-09-04T04:00:00Z
MPLADS-AS-2023-00004,MP-AS-019,PC-AS-018,Assam,Jorhat,26.114208,93.31004,HEALTH,Construction of sub-health centre building at Sundarpur village,PWD Jorhat Division,Cantonment Board Jorhat,VEN-00852,3817618.0,3884948.86,3635135.52,3465617.7,2023-04-04,2023-06-30,2023-09-07,2024-09-09,2024-09-17,COMPLETED,True,2023-04-04T09:00:00Z,2026-09-04T04:00:00Z
MPLADS-AP-2020-00006,MP-AP-016,PC-AP-013,Andhra Pradesh,Vijayawada,16.871742,80.759079,EDUCATION,"Provision of furniture and computer lab to Government School, Krishnanagar block",Vijayawada Rural Development Agency,Vijayawada Municipal Corporation,VEN-00153,2561152.0,2551049.89,1060332.7,1030589.88,2020-07-31,2020-10-06,2021-01-14,2021-08-03,,ABANDONED,False,2020-07-31T09:00:00Z,2026-09-04T04:00:00Z
MPLADS-AP-2023-00007,MP-AP-015,PC-AP-012,Andhra Pradesh,Guntur,15.094044,80.383328,DRINKING_WATER,Construction of overhead water tank (20 KL capacity) at Bhagwanpur Gram Panchayat,Guntur Panchayati Raj Department,Guntur Rural Development Agency,VEN-00735,1481732.0,1449085.21,1409534.46,1252994.07,2023-09-23,2023-10-18,2023-12-18,2024-05-09,2024-06-05,COMPLETED,True,2023-09-23T09:00:00Z,2026-09-04T04:00:00Z
MPLADS-CG-2023-00007,MP-CG-004,PC-CG-002,Chhattisgarh,Korba,21.464157,81.013268,EDUCATION,"Provision of furniture and computer lab to Government School, Lakshmipur Gram Panchayat",Chhattisgarh Housing Board — Korba Circle,PWD Korba Division,VEN-00529,1560935.0,1513887.52,1867497.11,1102328.18,2023-07-01,2023-07-18,2023-11-02,2024-03-21,,DELAYED,False,2023-07-01T09:00:00Z,2026-09-04T04:00:00Z
MPLADS-BR-2023-00005,MP-BR-006,PC-BR-003,Bihar,Patna,25.087078,86.059816,ELECTRICITY,Solar street lighting installation (5 poles) in Sundarpur,Cantonment Board Patna,Patna Rural Development Agency,VEN-00053,1230939.0,1241119.78,1187598.19,1140328.99,2023-08-13,2023-09-24,2023-11-22,2024-04-19,2024-07-10,COMPLETED,True,2023-08-13T09:00:00Z,2026-09-04T04:00:00Z
MPLADS-PB-2025-00001,MP-PB-001,PC-PB-001,Punjab,Patiala,30.085622,75.351758,ROADS,Construction of 1.0 km cement concrete road from Devpur hamlet to Ravipur hamlet,Patiala Panchayati Raj Department,Patiala Municipal Corporation,VEN-00890,3010736.0,2879951.0,1582758.45,1371010.06,2025-11-29,2025-12-24,2026-02-23,2025-03-24,,DELAYED,False,2025-11-29T09:00:00Z,2026-09-04T04:00:00Z
MPLADS-AP-2019-00008,MP-AP-013,,Andhra Pradesh,Guntur,16.745069,79.31372,IRRIGATION,Construction of check dam near Manpur village,PWD Guntur Division,Guntur Rural Development Agency,VEN-00029,3188781.0,3434382.36,3160579.29,3111566.79,2019-09-02,2019-10-24,2020-02-09,2020-10-11,2020-10-16,COMPLETED,False,2019-09-02T09:00:00Z,2026-09-04T04:00:00Z
MPLADS-BR-2022-00006,MP-BR-010,PC-BR-006,Bihar,Muzaffarpur,24.329159,85.444715,IRRIGATION,Installation of community lift irrigation scheme at Gandhi Nagar village,Muzaffarpur Rural Development Agency,Muzaffarpur Panchayati Raj Department,VEN-00267,2983803.0,2908935.18,2978392.97,2688567.91,2022-04-09,2022-06-21,2022-07-27,2023-08-12,2023-08-07,COMPLETED,False,2022-04-09T09:00:00Z,2026-09-04T04:00:00Z
MPLADS-MH-2024-00004,MP-MH-005,PC-MH-005,Maharashtra,Aurangabad,19.17841,74.944842,SANITATION,Solid waste management unit at Devpur hamlet,Maharashtra Housing Board — Aurangabad Circle,Aurangabad Zilla Parishad,VEN-00003,1217554.0,1316307.91,923654.36,757266.02,2024-09-27,2024-12-19,2025-01-12,2025-07-24,,DELAYED,False,2024-09-27T09:00:00Z,2026-09-04T04:00:00Z
MPLADS-UP-2025-00004,MP-UP-011,PC-UP-010,Uttar Pradesh,Agra,25.966886,81.355849,DISASTER_RELIEF,Flood-relief infrastructure repair at Devpur block,Agra Rural Development Agency,Uttar Pradesh Housing Board — Agra Circle,VEN-00832,989712.0,947665.44,965454.97,862540.87,2025-10-10,2025-11-30,2026-03-02,2026-06-02,2026-08-16,COMPLETED,True,2025-10-10T09:00:00Z,2026-09-04T04:00:00Z
MPLADS-KL-2019-00004,MP-KL-007,PC-KL-007,Kerala,Kochi,11.229928,76.109532,SANITATION,Solid waste management unit at Ambedkar Nagar,Kochi Panchayati Raj Department,Kerala Housing Board — Kochi Circle,VEN-00620,825988.0,835685.41,804182.04,730008.55,2019-07-24,2019-08-15,2019-11-05,2020-05-15,2020-07-27,COMPLETED,True,2019-07-24T09:00:00Z,2026-09-04T04:00:00Z
MPLADS-MP-2019-00002,MP-MP-012,PC-MP-010,Madhya Pradesh,Indore,23.461734,77.835635,IRRIGATION,Renovation of irrigation canal serving Ganeshpur farmers,Indore Municipal Corporation,Indore Panchayati Raj Department,VEN-00728,2075146.0,2163071.95,2016551.62,1917205.84,2019-12-23,2020-02-20,2020-03-13,2020-12-11,2021-03-07,COMPLETED,True,2019-12-23T09:00:00Z,2026-09-04T04:00:00Z
MPLADS-UP-2023-00005,MP-UP-005,PC-UP-005,Uttar Pradesh,Kanpur Nagar,26.930344,80.723102,RAILWAYS,Construction of railway station approach road at Kisanpur hamlet,Kanpur Nagar Zilla Parishad,Kanpur Nagar Zilla Parishad,VEN-00163,1945971.0,2094262.31,1853078.73,1758550.65,2023-04-20,2023-06-22,2023-08-07,2024-02-05,2024-03-06,COMPLETED,True,2023-04-20T09:00:00Z,2026-09-04T04:00:00Z
MPLADS-TG-2025-00004,MP-TG-010,PC-TG-009,Telangana,Warangal,18.22784,78.646272,EDUCATION,"Renovation of school building and toilets at Government School, Gandhi Nagar block",PWD Warangal Division,Warangal Rural Development Agency,VEN-00852,1752015.0,1867451.03,1693819.3,1439880.74,2024-02-22,2024-03-13,2024-03-23,2026-01-24,2026-02-08,COMPLETED,False,2025-06-27T09:00:00Z,2026-09-04T04:00:00Z
MPLADS-JH-2021-00003,MP-JH-009,,Jharkhand,Bokaro,23.244235,84.999629,SANITATION,Solid waste management unit at Nehru Nagar block,PWD Bokaro Division,Cantonment Board Bokaro,VEN-00643,1033506.0,1004523.96,655187.31,601245.96,2021-04-11,2021-05-10,2021-08-07,2025-10-07,,DELAYED,False,2021-04-11T09:00:00Z,2026-09-04T04:00:00Z
